co_fips,co_name,state,mcode,mname,inflow2011_12,outflow2011_12,netflow2011_12,inflow2012_13,outflow2012_13,netflow2012_13,inflow2013_14,outflow2013_14,netflow2013_14,inflow2014_15,outflow2014_15,netflow2014_15,inflow2015_16,outflow2015_16,netflow2015_16,inflow2016_17,outflow2016_17,netflow2016_17,inflow2017_18,outflow2017_18,netflow2017_18,tot_inflow,tot_outflow,tot_netflow
36059,"Nassau County, NY",NY,35620,"New York-Newark-Jersey City, NY-NJ-PA",13995,22803,-8808,14458,24494,-10036,13877,25204,-11327,11900,20316,-8416,12884,26345,-13461,15446,35921,-20475,14062,30584,-16522,96622,185667,-89045
59000,Other flows - Different State,DS,59,Other flows - Different State,13850,16808,-2958,14062,17381,-3319,21728,25405,-3677,19743,23807,-4064,19539,25100,-5561,19978,27303,-7325,20162,23926,-3764,129062,159730,-30668
36119,"Westchester County, NY",NY,35620,"New York-Newark-Jersey City, NY-NJ-PA",11588,16967,-5379,10806,18414,-7608,10438,17173,-6735,9048,13986,-4938,9771,18833,-9062,11157,25211,-14054,9902,19826,-9924,72710,130410,-57700
36103,"Suffolk County, NY",NY,35620,"New York-Newark-Jersey City, NY-NJ-PA",8838,9785,-947,7493,9636,-2143,7056,9271,-2215,5837,8171,-2334,6593,9608,-3015,7366,13228,-5862,6907,11997,-5090,50090,71696,-21606
34017,"Hudson County, NJ",NJ,35620,"New York-Newark-Jersey City, NY-NJ-PA",6308,8761,-2453,6270,9141,-2871,5729,8818,-3089,4709,7273,-2564,5282,9862,-4580,6572,13901,-7329,5990,11474,-5484,40860,69230,-28370
34003,"Bergen County, NJ",NJ,35620,"New York-Newark-Jersey City, NY-NJ-PA",5393,7687,-2294,4436,7977,-3541,4315,7124,-2809,3860,5816,-1956,3978,7815,-3837,4522,10863,-6341,4297,8987,-4690,30801,56269,-25468
06037,"Los Angeles County, CA",CA,31080,"Los Angeles-Long Beach-Anaheim, CA",4297,5821,-1524,4265,7374,-3109,4231,6395,-2164,3465,5365,-1900,4415,8026,-3611,5229,10556,-5327,4412,8358,-3946,30314,51895,-21581
12086,"Miami-Dade County, FL",FL,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",3755,4381,-626,3862,3771,91,2571,3483,-912,2062,3033,-971,2182,3760,-1578,2707,4206,-1499,2243,3546,-1303,19382,26180,-6798
34013,"Essex County, NJ",NJ,35620,"New York-Newark-Jersey City, NY-NJ-PA",3536,5180,-1644,3114,5536,-2422,2996,5819,-2823,2861,4791,-1930,2906,6563,-3657,3256,9593,-6337,3369,8159,-4790,22038,45641,-23603
09001,"Fairfield County, CT",CT,14860,"Bridgeport-Stamford-Norwalk, CT",3412,5422,-2010,3473,5834,-2361,3546,5566,-2020,2966,4283,-1317,3446,5758,-2312,3660,8323,-4663,3765,6855,-3090,24268,42041,-17773
34023,"Middlesex County, NJ",NJ,35620,"New York-Newark-Jersey City, NY-NJ-PA",3297,4411,-1114,2435,4257,-1822,2413,4229,-1816,2080,3086,-1006,2114,3887,-1773,2303,5826,-3523,2215,5068,-2853,16857,30764,-13907
42101,"Philadelphia County, PA",PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2937,3813,-876,2747,3289,-542,2441,3071,-630,1954,2748,-794,2326,3827,-1501,2614,5383,-2769,2410,4743,-2333,17429,26874,-9445
17031,"Cook County, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2704,2937,-233,2734,3071,-337,2454,2558,-104,1987,1940,47,2766,2927,-161,3623,4039,-416,2808,2966,-158,19076,20438,-1362
12011,"Broward County, FL",FL,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",2667,3941,-1274,2852,3627,-775,2222,3525,-1303,1833,2938,-1105,1698,3595,-1897,1978,4562,-2584,1874,3579,-1705,15124,25767,-10643
