mcode,mname,inflow2011_12,outflow2011_12,netflow2011_12,inflow2012_13,outflow2012_13,netflow2012_13,inflow2013_14,outflow2013_14,netflow2013_14,inflow2014_15,outflow2014_15,netflow2014_15,inflow2015_16,outflow2015_16,netflow2015_16,inflow2016_17,outflow2016_17,netflow2016_17,inflow2017_18,outflow2017_18,netflow2017_18,tot_inflow,tot_outflow,tot_netflow
0,non-metro,1633,2471,-838,1452,2426,-974,1111,1556,-445,683,1055,-372,850,2115,-1265,1340,3125,-1785,1209,2181,-972,8278,14929,-6651
10420,"Akron, OH",88,97,-9,134,106,28,60,36,24,67,0,67,31,0,31,40,42,-2,58,79,-21,478,360,118
10500,"Albany, GA",24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24
10580,"Albany-Schenectady-Troy, NY",2102,3147,-1045,2186,3244,-1058,1661,2722,-1061,1383,2248,-865,1648,3167,-1519,2063,4594,-2531,1739,3480,-1741,12782,22602,-9820
10740,"Albuquerque, NM",149,132,17,104,157,-53,107,79,28,67,0,67,56,88,-32,76,177,-101,70,137,-67,629,770,-141
10900,"Allentown-Bethlehem-Easton, PA-NJ",6380,8676,-2296,5609,8011,-2402,4065,7727,-3662,3288,6069,-2781,4088,8543,-4455,5485,12621,-7136,4517,10004,-5487,33432,61651,-28219
11220,"Amsterdam, NY",27,46,-19,0,30,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,76,-49
11260,"Anchorage, AK",147,136,11,103,68,35,0,35,-35,0,0,0,0,0,0,61,0,61,0,0,0,311,239,72
11460,"Ann Arbor, MI",383,316,67,331,369,-38,232,178,54,146,122,24,246,198,48,450,395,55,308,323,-15,2096,1901,195
11700,"Asheville, NC",44,137,-93,66,203,-137,50,94,-44,32,64,-32,71,143,-72,64,277,-213,57,158,-101,384,1076,-692
11900,"Athens, OH",0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
12020,"Athens-Clarke County, GA",16,36,-20,56,33,23,0,0,0,0,0,0,0,0,0,30,38,-8,0,0,0,102,107,-5
12060,"Atlanta-Sandy Springs-Alpharetta, GA",6548,9857,-3309,6250,9985,-3735,4141,8602,-4461,2615,6628,-4013,3534,10087,-6553,4742,13306,-8564,3769,10020,-6251,31599,68485,-36886
12100,"Atlantic City-Hammonton, NJ",1395,1555,-160,1337,1540,-203,1256,1032,224,920,718,202,1129,1064,65,1298,1686,-388,1070,1353,-283,8405,8948,-543
12180,"Auburn, NY",14,0,14,0,11,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3
12220,"Auburn-Opelika, AL",18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18
12260,"Augusta-Richmond County, GA-SC",81,144,-63,86,132,-46,0,0,0,0,0,0,0,0,0,0,128,-128,0,0,0,167,404,-237
12300,"Augusta-Waterville, ME",20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
12420,"Austin-Round Rock-Georgetown, TX",969,3663,-2694,1722,7354,-5632,2530,7319,-4789,5144,6124,-980,4656,2963,1693,2017,3720,-1703,1452,2788,-1336,18490,33931,-15441
