,TOTPOP,BIRTHS,DEATHS,NATINC,INTMIG,DOMMIG,NPOPCHG
2010,8190209,29777,12307,17470,13530,-15775,15178
2011,8272948,120508,52303,68205,62935,-48550,82739
2012,8346693,118511,50828,67683,63792,-57383,73745
2013,8396091,119150,53237,65913,55286,-71612,49398
2014,8433806,117028,52826,64202,59599,-86157,37715
2015,8463049,117624,53955,63669,58578,-93191,29243
2016,8469153,115962,53183,62779,62224,-119076,6104
2017,8437478,113417,53835,59582,47548,-138997,-31675
2018,8390081,109546,58986,50560,38760,-136799,-47397
2019,8336817,107203,62061,45142,33818,-132266,-53264
