,TOTPOP,BIRTHS,DEATHS,NATINC,INTMIG,DOMMIG,NPOPCHG
2010,18923407,61880,31929,29951,21771,-24080,27130
2011,19052774,247563,135400,112163,103201,-86058,129367
2012,19149689,243039,131945,111094,98148,-111866,96915
2013,19226449,242518,138288,104230,88674,-115496,76760
2014,19280929,240738,134663,106075,94855,-146454,54480
2015,19320968,242710,138019,104691,103979,-168893,40039
2016,19334778,241213,136124,105089,106411,-197939,13810
2017,19322607,237191,140335,96856,94007,-203208,-12171
2018,19276644,232601,147412,85189,67329,-198628,-45963
2019,19216182,228660,151896,76764,58630,-196045,-60462
