fips,cname,state,year,returns,exempts
34003,Bergen County,NJ,2011_12,454847.0000,883358.0000
34003,Bergen County,NJ,2012_13,454440.0000,881200.0000
34003,Bergen County,NJ,2013_14,458750.0000,885960.0000
34003,Bergen County,NJ,2014_15,460500.0000,883710.0000
34003,Bergen County,NJ,2015_16,464930.0000,887760.0000
34003,Bergen County,NJ,2016_17,465350,886690
34003,Bergen County,NJ,2017_18,469620.0000,891780.0000
34013,Essex County,NJ,2011_12,370610.0000,711281.0000
34013,Essex County,NJ,2012_13,364520.0000,702540.0000
34013,Essex County,NJ,2013_14,364770.0000,702660.0000
34013,Essex County,NJ,2014_15,365810.0000,701020.0000
34013,Essex County,NJ,2015_16,370380.0000,703920.0000
34013,Essex County,NJ,2016_17,372130,702430
34013,Essex County,NJ,2017_18,378710.0000,710010.0000
34017,Hudson County,NJ,2011_12,318912.0000,569669.0000
34017,Hudson County,NJ,2012_13,317480.0000,567230.0000
34017,Hudson County,NJ,2013_14,320660.0000,573420.0000
34017,Hudson County,NJ,2014_15,325010.0000,579910.0000
34017,Hudson County,NJ,2015_16,331950.0000,586370.0000
34017,Hudson County,NJ,2016_17,332760,581790
34017,Hudson County,NJ,2017_18,338460.0000,588500.0000
34019,Hunterdon County,NJ,2011_12,63949.0000,125713.0000
34019,Hunterdon County,NJ,2012_13,64000.0000,124790.0000
34019,Hunterdon County,NJ,2013_14,64130.0000,123800.0000
34019,Hunterdon County,NJ,2014_15,64340.0000,123170.0000
34019,Hunterdon County,NJ,2015_16,64620.0000,122900.0000
34019,Hunterdon County,NJ,2016_17,64920,122590
34019,Hunterdon County,NJ,2017_18,65340.0000,122510.0000
34023,Middlesex County,NJ,2011_12,397633.0000,794769.0000
34023,Middlesex County,NJ,2012_13,396270.0000,788480.0000
34023,Middlesex County,NJ,2013_14,399560.0000,791540.0000
34023,Middlesex County,NJ,2014_15,401840.0000,791440.0000
34023,Middlesex County,NJ,2015_16,405530.0000,793160.0000
34023,Middlesex County,NJ,2016_17,404770,786760
34023,Middlesex County,NJ,2017_18,410230.0000,792550.0000
34025,Monmouth County,NJ,2011_12,315610.0000,614529.0000
34025,Monmouth County,NJ,2012_13,315840.0000,609720.0000
34025,Monmouth County,NJ,2013_14,317820.0000,607640.0000
34025,Monmouth County,NJ,2014_15,318840.0000,603620.0000
34025,Monmouth County,NJ,2015_16,321780.0000,604450.0000
34025,Monmouth County,NJ,2016_17,321630,600950
34025,Monmouth County,NJ,2017_18,325220.0000,603890.0000
34027,Morris County,NJ,2011_12,248012.0000,487739.0000
34027,Morris County,NJ,2012_13,249240.0000,486990.0000
34027,Morris County,NJ,2013_14,252020.0000,488160.0000
34027,Morris County,NJ,2014_15,252070.0000,484350.0000
34027,Morris County,NJ,2015_16,254130.0000,486400.0000
34027,Morris County,NJ,2016_17,253750,484140
34027,Morris County,NJ,2017_18,255040.0000,483960.0000
34029,Ocean County,NJ,2011_12,275713.0000,545361.0000
34029,Ocean County,NJ,2012_13,276630.0000,544940.0000
34029,Ocean County,NJ,2013_14,278250.0000,546390.0000
34029,Ocean County,NJ,2014_15,279800.0000,548980.0000
34029,Ocean County,NJ,2015_16,283620.0000,554850.0000
34029,Ocean County,NJ,2016_17,286100,559590
34029,Ocean County,NJ,2017_18,290220.0000,566410.0000
34031,Passaic County,NJ,2011_12,247148.0000,494753.0000
34031,Passaic County,NJ,2012_13,244040.0000,485080.0000
34031,Passaic County,NJ,2013_14,245080.0000,484330.0000
34031,Passaic County,NJ,2014_15,246570.0000,482390.0000
34031,Passaic County,NJ,2015_16,249540.0000,483930.0000
34031,Passaic County,NJ,2016_17,249170,479920
34031,Passaic County,NJ,2017_18,252900.0000,482340.0000
34035,Somerset County,NJ,2011_12,163444.0000,327797.0000
34035,Somerset County,NJ,2012_13,165340.0000,329100.0000
34035,Somerset County,NJ,2013_14,166740.0000,330060.0000
